Nome_Do_Carro,ValorEuros,Marca,TipoCombustivel,Quilometragem,Cilindrada,PotenciaMotor,TipoCarro,CaixaDeVelocidades,Ano
renault mgane 1 2 tce limited ss,15900,renault,gaz,79600,1197,115,compact,manual,2017
citron c4 grand picasso,6500,citroen,diesel,220000,1600,112,minivan,automatic,2009
bmw m2 auto,55999,bmw,gaz,67050,2979,370,coupe,automatic,2018
bmw 530 d auto,17999,bmw,diesel,265000,2993,245,sedan,automatic,2010
mini countryman cooper d,13950,mini,diesel,149750,1598,112,compact,manual,2013
mercedesbenz cls 350 cdi blueefficiency,26900,mercedes-benz,diesel,219329,2987,265,sedan,automatic,2011
honda civic tourer 1 6 idtec elegance connect navi,17900,honda,diesel,72199,1597,120,combi,manual,2016
opel astra caravan 1 3 cdti elegance,4600,opel,diesel,206000,1248,90,combi,manual,2005
peugeot 3008,23500,peugeot,diesel,135000,1560,120,suv,automatic,2018
mercedesbenz cls 400 d 4matic,63990,mercedes-benz,diesel,108346,2925,340,sedan,automatic,2018
mini clubman one d,17700,mini,diesel,129931,1496,116,combi,manual,2017
audi a4 avant 1 9 tdi m6 sport,6999,audi,diesel,380000,1896,130,combi,manual,2003
vw passat variant 1 6 tdi trendline,12390,vw,diesel,255364,1598,120,combi,manual,2016
vw golf variant 1 0 tsi gps edition,18900,vw,gaz,70832,999,115,combi,manual,2018
opel corsa 1 2 edition,17950,opel,gaz,17000,1199,75,compact,manual,2021
bmw 525,15450,bmw,diesel,247000,1995,218,sedan,automatic,2012
peugeot 3008 1 5 bluehdi active pack,34000,peugeot,diesel,2000,1499,130,suv,manual,2021
bmw 420 gran coup d pack m auto,34500,bmw,diesel,59000,1995,190,sedan,automatic,2017
peugeot 3008 1 6 bluehdi allure eat6 j18,24900,peugeot,diesel,139711,1560,120,suv,automatic,2017
renault master 2 3 dci l2h2 3 5t ss,20990,renault,diesel,215052,2299,145,combi,manual,2016
mercedesbenz c 300,61750,mercedes-benz,diesel,25573,1950,245,cabrio,automatic,2020
renault clio sport tourer 1 5 dci dynamique s edc,12990,renault,diesel,161900,1461,90,combi,automatic,2017
renault clio sport tourer 1 5 dci confort,8990,renault,diesel,211236,1461,90,combi,manual,2015
volvo v50,7250,volvo,diesel,241000,1560,115,combi,manual,2011
land rover range rover evoque 2 2 dw12c dynamic,19990,land-rover,diesel,267585,2179,190,suv,manual,2012
daihatsu cuore 1 0 lx,3490,daihatsu,gaz,70243,989,55,city-car,manual,2003
ford mondeo sw 2 0 hev vignale,36990,ford,hibride-gaz,15546,1999,187,combi,automatic,2020
dacia sandero 1 0 sce comfort,10750,dacia,gaz,20000,999,75,compact,manual,2020
mazda cx3 1 5 sky evolve hs navi,16900,mazda,diesel,184000,1499,105,suv,manual,2017
renault clio break,10490,renault,diesel,116233,1461,95,compact,manual,2015
renault mgane 1 5 dci gt line ss,9840,renault,diesel,186400,1461,110,city-car,manual,2014
land rover range rover sport 3 0 tdv6 hse,85900,land-rover,diesel,45403,2993,258,suv,automatic,2018
nissan qashqai 1 5 dci nconnecta,15990,nissan,diesel,243082,1461,110,suv,manual,2016
mazda cx30 2 0 skyg evolve at iactive sport,29490,mazda,gaz,11607,1998,150,suv,automatic,2021
audi r8 spyder 5 2 fsi v10 s tronic,184000,audi,gaz,69470,5204,540,cabrio,automatic,2017
bmw m2,54900,bmw,gaz,59000,2979,370,coupe,automatic,2017
bmw 420 d desportiva m auto,61600,bmw,diesel,10,1995,190,coupe,automatic,2022
bmw 520 d line luxury auto,14900,bmw,diesel,240000,1995,184,combi,automatic,2011
smart forfour 1 0 passion 71 aut,11500,smart,gaz,105000,999,71,city-car,automatic,2016
citron c5,4400,citroen,diesel,217000,1560,109,sedan,manual,2005
seat ibiza sc 1 2 12v sport,4999,seat,gaz,118000,1198,70,city-car,manual,2009
bmw 740 d,23999,bmw,diesel,370000,2993,313,sedan,automatic,2013
mercedesbenz cls 350 cdi,16990,mercedes-benz,diesel,228612,2987,224,sedan,automatic,2009
citron c4 cactus 1 6 bluehdi feel,15950,citroen,diesel,130000,1560,100,sedan,manual,2018
fiat tipo station wagon 1 6 mjet lounge dct,18250,fiat,diesel,75900,1598,120,combi,automatic,2019
renault fluence 1 5 dci exclusive,5950,renault,diesel,208000,1461,105,sedan,manual,2010
vw tiguan 2 0tdi,10900,vw,diesel,340000,1968,110,suv,manual,2011
bmw compact,4500,bmw,diesel,243000,1995,150,coupe,manual,2002
volvo v90,32900,volvo,diesel,90600,1969,150,combi,automatic,2017
land rover range rover sport 2 0 si4 phev hse dynamic,88900,land-rover,hibride-gaz,56112,1997,404,suv,automatic,2019
renault mgane 1 5 dci confort,3950,renault,diesel,240000,1461,105,combi,manual,2005
peugeot 2008 1 6 bluehdi allure,16900,peugeot,diesel,77541,1560,100,suv,manual,2017
tesla model x 100d,88888,tesla,electric,46000,,525,suv,automatic,2018
maserati ghibli 3 0 v6 granlusso,62900,maserati,diesel,127710,2987,275,sedan,automatic,2018
peugeot 308 sw 1 6 bluehdi style,17200,peugeot,diesel,96836,1560,100,combi,manual,2017
